STN,station_name,lat,lon,avg_wind_speed,vector_wind_speed,max_hourly_wind,max_gust_speed
209,IJmond,52.465,4.518,7.3047635891993865,6.4134080188679246,10.132091048472697,13.508314659747612
210,VALKENBURG VK,52.171,4.43,4.84307712049275,4.312652380341332,7.378108558963172,12.0097022587269
215,Voorschoten,52.141,4.437,4.457953950811094,3.927943485086342,6.857142857142857,11.627158555729984
225,IJmuiden,52.463,4.555,7.33947392455932,6.464855237921271,10.367887478308521,14.054162092938164
235,De Kooy Airport,52.928,4.781,5.531726907630522,4.959738955823293,8.022336832496576,12.520370877866082
240,Schiphol Airport,52.318,4.79,4.944442416499361,4.3694196021171745,7.43551743018799,11.911335219494386
242,Vlieland Vliehors,53.241,4.921,7.759141313619562,6.9270805687203785,10.744502369668247,14.226642024452657
248,Wijdenes,52.634,5.174,5.257740164684355,4.65259835315645,7.959963403476669,11.814537283316518
249,Berkhout,52.644,4.979,4.8545348343245545,4.302187765505523,7.394859813084112,11.741716227697536
251,Hoorn Terschelling,53.392,5.346,6.295805537786713,5.6374577355387006,8.944205812465729,13.05237659963437
257,Wijk aan Zee,52.506,4.603,6,6,6,6
258,Houtribdijk,52.649,5.401,7.246533472491427,6.383345758163113,10.220548762302416,13.579182821354012
260,De Bilt,52.1,5.18,3.4350976455557585,3.03458660339478,5.262666544989962,10.21826229807429
265,Soesterberg,52.13,5.274,3.69256998526626,3.258492948852873,5.865754577983583,10.703559393428812
267,Stavoren,52.898,5.384,5.760697159719661,5.067631870158613,8.24649575802287,12.205911648067879
269,Lelystad Airport,52.458,5.52,4.317731337835371,3.8072549735353167,6.602363785707767,10.950045645426329
270,Leeuwarden Airport,53.224,5.752,4.7062602664719835,4.181356086877168,7.130653403905822,11.612659846547315
273,Marknesse,52.703,5.888,4.1500913075237404,3.6579346238130017,6.416700146092038,10.811343692870201
275,Deelen Airport,52.056,5.873,3.7880817667457567,3.3367162544492106,6.0138255156050375,10.64127418765973
277,Lauwersoog,53.413,6.2,6.278094194961665,5.5075848849945235,9.100620664476086,13.166243376575919
278,Heino,52.435,6.259,3.08657045684346,2.7305175108006248,4.963038882250207,9.626563074659801
279,Hoogeveen,52.75,6.574,3.9687127976190473,3.5122488839285713,6.1150018601190474,10.65430432759423
280,Groningen Airport Eelde,53.125,6.585,4.169036320496441,3.7063423982478554,6.426939222485855,10.98440609878572
283,Hupsel,52.069,6.657,3.3315477276875343,2.9371827642870185,5.303613798138346,9.883041255932822
285,Huibertgat,53.575,6.399,7.669991173874669,6.774972988900894,10.452871870397644,13.67274692874693
286,Nieuw Beerta,53.196,7.15,4.896276692827159,4.307401661038605,7.32057857273225,11.510670926517571
290,Twenthe Airport,52.274,6.891,3.513432563236234,3.11629988128938,5.4822208017532645,10.190948945109142
308,Cadzand,51.381,3.379,5.9942218080149114,5.193568950970282,8.795796047725577,12.323651800709087
310,Vlissingen,51.442,3.596,6.152673845592261,5.396176309545538,8.918589158605585,12.774500319430501
311,Hoofdplaat,51.379,3.672,5.578676582182426,4.838139323114281,8.214665249734326,11.766545233758348
312,Oosterschelde,51.768,3.622,7.38130081300813,6.512139548076013,10.221452207620308,13.34531324045114
313,Vlakte van De Raan,51.505,3.242,7.356123984351489,6.474157303370787,10.225120385232744,13.366071428571429
315,Hansweert,51.447,3.998,5.570910342115612,4.8713498622589535,8.0949759119064,11.722276838379866
316,Schaar,51.657,3.694,6.706938089457466,5.8856369069854315,9.494629681516765,12.845963371332461
319,Westdorpe,51.226,3.861,4.127924803796313,3.6332816207337104,6.430699032670196,10.835823894775302
323,Wilhelminadorp,51.527,3.884,4.691051524710831,4.125930599369085,7.071629863301787,11.432961716449306
324,Stavenisse,51.596,4.006,5.545808080808081,4.836781493080109,8.127096383107698,11.805920387957164
330,Hoek van Holland,51.992,4.122,7.06017707192406,6.200666301569916,9.935231836436655,13.832967435053055
331,Tholen,51.48,4.193,5.957982031789911,5.192077447397017,8.556732194013632,11.866337123084527
340,Woensdrecht Airport,51.449,4.342,3.605654677617294,3.204370810912867,5.808637779665817,10.521636930048144
343,Rotterdam Geulhaven,51.893,4.313,5.260432115719125,4.617110683878055,7.6370044859470845,12.170659945004582
344,Rotterdam Airport,51.962,4.447,4.351514874977186,3.8821317758715095,6.6362839934294575,11.437404162102958
348,Cabauw,51.97,4.926,4.2469976273042525,3.731511224676036,6.5397974082861845,10.806003477624234
350,Gilze-Rijen Airport,51.566,4.936,3.6230060229968974,3.198056214637708,5.745747399160431,10.385688207374955
356,Herwijnen,51.859,5.146,3.9832937739638488,3.509933351593171,6.250164323534782,10.604473660184425
370,Eindhoven Airport,51.451,5.377,3.7619512640321253,3.33389613945423,5.872784521310577,10.31800675367345
375,Volkel,51.659,5.707,3.68929549187808,3.282633692279613,5.7883646650848695,10.180029221075701
377,Ell,51.198,5.763,3.524080842829499,3.105095678348742,5.5854654912921955,10.031606106213717
380,Maastricht Airport,50.906,5.762,4.069793757985034,3.606123380178865,6.158222303340025,10.567034873105715
391,Arcen,51.498,6.197,2.947283353118437,2.5965208656743677,4.730298602867318,9.453399744105283
