municipality_code,municipality_name,region_name,recs,population_total,population_density,total_area_ha,land_area_ha,water_area_ha,urbanity_category,address_density
GM0014,Groningen,Groningen,Gemeente,243768,1314,19796,18553,1244,1,3472
GM0034,Almere,Almere,Gemeente,226500,1753,24877,12918,11959,2,1636
GM0037,Stadskanaal,Stadskanaal,Gemeente,32013,272,11994,11763,231,4,840
GM0047,Veendam,Veendam,Gemeente,27520,362,7868,7593,275,3,1016
GM0050,Zeewolde,Zeewolde,Gemeente,23899,97,26886,24711,2175,4,842
GM0059,Achtkarspelen,Achtkarspelen,Gemeente,28226,276,10398,10221,177,5,441
GM0060,Ameland,Ameland,Gemeente,3839,68,26850,5659,21191,5,269
GM0072,Harlingen,Harlingen,Gemeente,16229,650,38767,2496,36271,3,1102
GM0074,Heerenveen,Heerenveen,Gemeente,51787,273,19817,18997,820,3,1108
GM0080,Leeuwarden,Leeuwarden,Gemeente,128810,542,25506,23755,1750,2,2238
GM0085,Ooststellingwerf,Ooststellingwerf,Gemeente,25824,116,22611,22330,282,5,485
GM0086,Opsterland,Opsterland,Gemeente,30059,134,22764,22440,324,5,424
GM0088,Schiermonnikoog,Schiermonnikoog,Gemeente,972,23,20356,4293,16063,5,325
GM0090,Smallingerland,Smallingerland,Gemeente,56661,484,12617,11717,900,3,1349
GM0093,Terschelling,Terschelling,Gemeente,4898,56,67399,8721,58678,5,258
GM0096,Vlieland,Vlieland,Gemeente,1255,30,31580,4184,27396,5,222
GM0098,Weststellingwerf,Weststellingwerf,Gemeente,26487,120,22845,22020,825,4,699
GM0106,Assen,Assen,Gemeente,69701,851,8345,8188,157,2,1600
GM0109,Coevorden,Coevorden,Gemeente,35725,121,29969,29611,358,4,508
GM0114,Emmen,Emmen,Gemeente,109346,326,34626,33533,1093,4,867
GM0118,Hoogeveen,Hoogeveen,Gemeente,56591,444,12925,12754,171,3,1218
GM0119,Meppel,Meppel,Gemeente,35810,645,5703,5550,153,3,1302
GM0141,Almelo,Almelo,Gemeente,74317,1106,6941,6718,223,2,1623
GM0147,Borne,Borne,Gemeente,24639,948,2616,2599,17,3,1260
GM0148,Dalfsen,Dalfsen,Gemeente,29683,180,16652,16502,150,4,521
GM0150,Deventer,Deventer,Gemeente,103405,792,13433,13056,377,2,1874
GM0153,Enschede,Enschede,Gemeente,161738,1149,14272,14073,200,2,2220
GM0158,Haaksbergen,Haaksbergen,Gemeente,24359,232,10550,10478,72,3,1049
GM0160,Hardenberg,Hardenberg,Gemeente,62932,202,31715,31216,499,4,582
GM0163,Hellendoorn,Hellendoorn,Gemeente,36264,263,13899,13793,106,4,829
GM0164,Hengelo,Hengelo (O.),Gemeente,83058,1365,6183,6084,99,2,1897
GM0166,Kampen,Kampen,Gemeente,56177,398,16179,14123,2056,3,1459
GM0168,Losser,Losser,Gemeente,23376,237,9962,9874,88,4,768
GM0171,Noordoostpolder,Noordoostpolder,Gemeente,50035,109,59347,45809,13538,4,747
GM0173,Oldenzaal,Oldenzaal,Gemeente,31794,1475,2195,2155,40,3,1490
GM0175,Ommen,Ommen,Gemeente,19031,106,18201,17985,217,4,512
GM0177,Raalte,Raalte,Gemeente,38364,224,17229,17097,132,4,667
GM0180,Staphorst,Staphorst,Gemeente,17739,132,13569,13394,175,5,365
GM0183,Tubbergen,Tubbergen,Gemeente,21397,146,14744,14700,44,5,300
GM0184,Urk,Urk,Gemeente,21958,1671,11186,1314,9872,3,1088
GM0189,Wierden,Wierden,Gemeente,24931,264,9539,9460,78,4,711
GM0193,Zwolle,Zwolle,Gemeente,133141,1203,11936,11067,869,2,2105
GM0197,Aalten,Aalten,Gemeente,27308,283,9705,9653,52,4,781
GM0200,Apeldoorn,Apeldoorn,Gemeente,168211,495,34115,33986,129,2,1802
GM0202,Arnhem,Arnhem,Gemeente,167632,1715,10154,9774,380,2,2316
GM0203,Barneveld,Barneveld,Gemeente,62592,356,17666,17584,82,4,903
GM0209,Beuningen,Beuningen,Gemeente,26725,613,4709,4360,349,3,1013
GM0213,Brummen,Brummen,Gemeente,21286,255,8501,8363,138,4,800
GM0214,Buren,Buren,Gemeente,27773,208,14292,13360,933,5,303
GM0216,Culemborg,Culemborg,Gemeente,29944,1023,3114,2927,187,2,1503
GM0221,Doesburg,Doesburg,Gemeente,11079,959,1296,1156,140,4,823
GM0222,Doetinchem,Doetinchem,Gemeente,59623,754,7966,7904,61,3,1178
GM0225,Druten,Druten,Gemeente,19590,522,4246,3752,494,4,818
GM0226,Duiven,Duiven,Gemeente,24872,734,3519,3388,131,3,1169
GM0228,Ede,Ede,Gemeente,123532,388,31862,31815,48,2,1632
GM0230,Elburg,Elburg,Gemeente,23906,375,6591,6382,209,4,683
GM0232,Epe,Epe,Gemeente,33168,212,15737,15612,125,4,735
GM0233,Ermelo,Ermelo,Gemeente,27856,325,8733,8564,169,4,952
GM0243,Harderwijk,Harderwijk,Gemeente,49387,1269,4827,3892,935,2,1609
GM0244,Hattem,Hattem,Gemeente,12624,547,2416,2307,109,4,845
GM0246,Heerde,Heerde,Gemeente,19226,245,8042,7855,188,4,627
GM0252,Heumen,Heumen,Gemeente,16836,424,4154,3973,181,4,804
GM0262,Lochem,Lochem,Gemeente,34289,161,21594,21305,290,4,600
GM0263,Maasdriel,Maasdriel,Gemeente,26197,398,7546,6588,958,5,499
GM0267,Nijkerk,Nijkerk,Gemeente,45361,654,7204,6932,272,3,1152
GM0268,Nijmegen,Nijmegen,Gemeente,187049,3542,5763,5281,482,2,2436
GM0269,Oldebroek,Oldebroek,Gemeente,24281,249,9884,9766,117,4,659
GM0273,Putten,Putten,Gemeente,24978,293,8750,8521,229,4,918
GM0274,Renkum,Renkum,Gemeente,31419,684,4723,4596,128,4,927
GM0275,Rheden,Rheden,Gemeente,43661,534,8435,8177,257,3,1466
GM0277,Rozendaal,Rozendaal,Gemeente,1831,66,2792,2790,2,4,953
GM0279,Scherpenzeel,Scherpenzeel,Gemeente,10343,750,1381,1379,3,4,940
GM0281,Tiel,Tiel,Gemeente,42370,1292,3551,3280,271,3,1485
GM0285,Voorst,Voorst,Gemeente,25377,206,12647,12293,354,4,593
GM0289,Wageningen,Wageningen,Gemeente,42579,1400,3236,3042,194,2,2150
GM0293,Westervoort,Westervoort,Gemeente,15151,2160,784,701,83,3,1165
GM0294,Winterswijk,Winterswijk,Gemeente,29231,212,13882,13813,69,3,1225
GM0296,Wijchen,Wijchen,Gemeente,41545,629,6956,6604,352,3,1255
GM0297,Zaltbommel,Zaltbommel,Gemeente,30385,386,8904,7865,1039,4,708
GM0299,Zevenaar,Zevenaar,Gemeente,45041,486,10610,9262,1349,3,1043
GM0301,Zutphen,Zutphen,Gemeente,48752,1191,4293,4092,202,2,1679
GM0302,Nunspeet,Nunspeet,Gemeente,29072,226,12953,12873,80,4,816
GM0303,Dronten,Dronten,Gemeente,44354,133,42389,33360,9029,4,782
GM0307,Amersfoort,Amersfoort,Gemeente,161852,2590,6386,6249,137,2,2413
GM0308,Baarn,Baarn,Gemeente,25065,770,3301,3254,47,2,1641
GM0310,De Bilt,De Bilt,Gemeente,43718,661,6713,6619,94,3,1285
GM0312,Bunnik,Bunnik,Gemeente,16108,436,3757,3693,64,4,700
GM0313,Bunschoten,Bunschoten,Gemeente,22619,744,3481,3039,442,3,1226
GM0317,Eemnes,Eemnes,Gemeente,9755,314,3370,3104,266,4,993
GM0321,Houten,Houten,Gemeente,50847,926,5899,5490,408,2,1595
GM0327,Leusden,Leusden,Gemeente,31681,541,5889,5851,39,3,1298
GM0331,Lopik,Lopik,Gemeente,14724,195,7898,7556,342,5,368
GM0335,Montfoort,Montfoort,Gemeente,13868,369,3820,3758,62,4,756
GM0339,Renswoude,Renswoude,Gemeente,5753,313,1851,1839,12,4,528
GM0340,Rhenen,Rhenen,Gemeente,20235,482,4376,4202,173,4,937
GM0342,Soest,Soest,Gemeente,47682,1031,4643,4625,18,3,1478
GM0344,Utrecht,Utrecht,Gemeente,374238,3991,9921,9377,544,1,3614
GM0345,Veenendaal,Veenendaal,Gemeente,69440,3575,1972,1942,30,2,2260
GM0351,Woudenberg,Woudenberg,Gemeente,14637,401,3682,3652,30,3,1008
GM0352,Wijk bij Duurstede,Wijk bij Duurstede,Gemeente,23945,503,5040,4758,283,3,1151
GM0353,IJsselstein,IJsselstein,Gemeente,33421,1591,2168,2101,67,2,1882
GM0355,Zeist,Zeist,Gemeente,66641,1374,4865,4850,15,2,1634
GM0356,Nieuwegein,Nieuwegein,Gemeente,65971,2817,2565,2342,223,2,1983
GM0358,Aalsmeer,Aalsmeer,Gemeente,33279,1656,3229,2010,1219,4,978
GM0361,Alkmaar,Alkmaar,Gemeente,112304,1018,11735,11031,703,2,2349
GM0362,Amstelveen,Amstelveen,Gemeente,95014,2311,4408,4111,297,1,2546
GM0363,Amsterdam,Amsterdam,Gemeente,931298,4950,24365,18812,5553,1,6099
GM0373,Bergen (NH.),Bergen (NH.),Gemeente,29932,302,12023,9900,2123,4,830
GM0375,Beverwijk,Beverwijk,Gemeente,42866,2336,2009,1835,173,1,2816
GM0376,Blaricum,Blaricum,Gemeente,12724,1149,1556,1107,449,3,1092
GM0377,Bloemendaal,Bloemendaal,Gemeente,23786,598,4523,3977,546,3,1114
GM0383,Castricum,Castricum,Gemeente,36366,733,6040,4964,1076,3,1362
GM0384,Diemen,Diemen,Gemeente,32977,2760,1404,1195,209,1,2852
GM0385,Edam-Volendam,Edam-Volendam,Gemeente,36917,680,8000,5432,2567,3,1330
GM0388,Enkhuizen,Enkhuizen,Gemeente,18895,1492,11625,1266,10358,3,1398
GM0392,Haarlem,Haarlem,Gemeente,167636,5739,3209,2921,288,1,3699
GM0394,Haarlemmermeer,Haarlemmermeer,Gemeente,163128,827,20631,19721,910,2,1541
GM0396,Heemskerk,Heemskerk,Gemeente,39452,1447,3168,2727,441,2,2382
GM0397,Heemstede,Heemstede,Gemeente,27593,3008,964,917,47,2,1791
GM0399,Heiloo,Heiloo,Gemeente,24312,1300,1901,1871,31,3,1381
GM0400,Den Helder,Den Helder,Gemeente,56432,1251,17880,4510,13370,2,1695
