id,diam,ash,kw,x,y,land,naam,wt_type,gem_naam,prov_naam,ondergrond,datum,geometry_wkt
rivm_windturbines_ashoogte_actueel.1,26.0,26.0,90.0,184745.661287,295841.750177,België,,Eocycle EOX M-26,,,land,2026-01-11,POINT (184745.6613 295841.7502)
rivm_windturbines_ashoogte_actueel.2,80.0,105.0,3000.0,168679.498528,299437.964804,België,,,,,land,2026-01-11,POINT (168679.4985 299437.9648)
rivm_windturbines_ashoogte_actueel.3,115.0,123.0,3000.0,170817.342978,300437.045552,België,,E115,,,land,2026-01-11,POINT (170817.343 300437.0456)
rivm_windturbines_ashoogte_actueel.4,117.0,100.0,3400.0,164592.697575,305255.456828,België,,V117,,,land,2026-01-11,POINT (164592.6976 305255.4568)
rivm_windturbines_ashoogte_actueel.5,117.0,100.0,3400.0,163991.28094,305380.035989,België,,V117,,,land,2026-01-11,POINT (163991.2809 305380.036)
rivm_windturbines_ashoogte_actueel.6,117.0,100.0,3400.0,164840.732489,305567.055505,België,,V117,,,land,2026-01-11,POINT (164840.7325 305567.0555)
rivm_windturbines_ashoogte_actueel.7,117.0,100.0,3400.0,164307.024674,305687.188056,België,,V117,,,land,2026-01-11,POINT (164307.0247 305687.1881)
rivm_windturbines_ashoogte_actueel.8,117.0,100.0,3400.0,164687.205904,305932.050543,België,,V117,,,land,2026-01-11,POINT (164687.2059 305932.0505)
rivm_windturbines_ashoogte_actueel.9,114.0,93.0,2625.0,170534.899497,308721.279436,België,,Siemens-Gamesa 114,,,land,2026-01-11,POINT (170534.8995 308721.2794)
rivm_windturbines_ashoogte_actueel.10,114.0,93.0,2625.0,170192.885187,308952.461253,België,,Siemens-Gamesa 114,,,land,2026-01-11,POINT (170192.8852 308952.4613)
rivm_windturbines_ashoogte_actueel.11,114.0,93.0,2625.0,170921.727619,309214.605877,België,,Siemens-Gamesa 114,,,land,2026-01-11,POINT (170921.7276 309214.6059)
rivm_windturbines_ashoogte_actueel.12,114.0,93.0,2625.0,170562.932893,309541.575056,België,,Siemens-Gamesa 114,,,land,2026-01-11,POINT (170562.9329 309541.5751)
rivm_windturbines_ashoogte_actueel.13,114.0,93.0,2625.0,172031.520652,309780.298316,België,,Siemens-Gamesa 114,,,land,2026-01-11,POINT (172031.5207 309780.2983)
rivm_windturbines_ashoogte_actueel.14,114.0,93.0,2625.0,171318.668584,309821.267348,België,,Siemens-Gamesa 114,,,land,2026-01-11,POINT (171318.6686 309821.2673)
rivm_windturbines_ashoogte_actueel.15,114.0,93.0,2625.0,170835.665539,309945.051184,België,,Siemens-Gamesa 114,,,land,2026-01-11,POINT (170835.6655 309945.0512)
rivm_windturbines_ashoogte_actueel.16,114.0,93.0,2625.0,171731.372261,310207.680208,België,,Siemens-Gamesa 114,,,land,2026-01-11,POINT (171731.3723 310207.6802)
rivm_windturbines_ashoogte_actueel.17,114.0,93.0,2625.0,171189.132915,310285.382127,België,,Siemens-Gamesa 114,,,land,2026-01-11,POINT (171189.1329 310285.3821)
rivm_windturbines_ashoogte_actueel.18,117.0,142.0,3450.0,164476.778041,312873.151154,België,,V117,,,land,2026-01-11,POINT (164476.778 312873.1512)
rivm_windturbines_ashoogte_actueel.19,70.0,65.0,1800.0,199864.884675,313000.874236,Duitsland,,,,,land,2026-01-11,POINT (199864.8847 313000.8742)
rivm_windturbines_ashoogte_actueel.20,70.0,65.0,1800.0,199655.812084,313196.751041,Duitsland,,,,,land,2026-01-11,POINT (199655.8121 313196.751)
rivm_windturbines_ashoogte_actueel.21,117.0,142.0,3450.0,164363.869498,313384.336128,België,,V117,,,land,2026-01-11,POINT (164363.8695 313384.3361)
rivm_windturbines_ashoogte_actueel.22,70.0,65.0,1800.0,199455.917469,313389.588908,Duitsland,,,,,land,2026-01-11,POINT (199455.9175 313389.5889)
rivm_windturbines_ashoogte_actueel.23,70.0,65.0,1800.0,199970.03617,313399.282189,Duitsland,,,,,land,2026-01-11,POINT (199970.0362 313399.2822)
rivm_windturbines_ashoogte_actueel.24,70.0,65.0,1800.0,200301.019619,313523.11091,Duitsland,,,,,land,2026-01-11,POINT (200301.0196 313523.1109)
rivm_windturbines_ashoogte_actueel.25,70.0,65.0,1800.0,199800.509381,313616.714036,Duitsland,,,,,land,2026-01-11,POINT (199800.5094 313616.714)
rivm_windturbines_ashoogte_actueel.26,70.0,65.0,1800.0,200182.8417,313758.092255,Duitsland,,,,,land,2026-01-11,POINT (200182.8417 313758.0923)
rivm_windturbines_ashoogte_actueel.27,117.0,142.0,3450.0,164248.684068,313900.103049,België,,V117,,,land,2026-01-11,POINT (164248.6841 313900.103)
rivm_windturbines_ashoogte_actueel.28,117.0,142.0,3450.0,167670.754787,314504.49608,België,,V117,,,land,2026-01-11,POINT (167670.7548 314504.4961)
rivm_windturbines_ashoogte_actueel.29,117.0,142.0,3450.0,167267.225524,314767.470808,België,,V117,,,land,2026-01-11,POINT (167267.2255 314767.4708)
